Model,Accuracy,Precision,Recall,F1,AUC,CV_Mean,CV_Std
Logistic Regression,0.6975806451612904,0.0014035087719298245,0.5,0.0027991602519244225,0.5388169073916738,0.6685893002649941,0.075740046947864
Decision Tree,0.5880730050933786,0.001544004117344313,0.75,0.0030816640986132513,0.666179906542056,0.6692398385601159,0.1204685919777289
Random Forest,0.9356960950764007,0.0033222591362126247,0.25,0.006557377049180328,0.6569137638062871,0.9454942537766071,0.011448747400394263
Gradient Boosting,0.99830220713073,0.0,0.0,0.0,0.6496920135938827,0.9985142420351314,0.0003797085713650856
XGBoost,0.9883276740237691,0.0,0.0,0.0,0.4675552251486831,0.9896422291649174,0.001409757939473636
